time,moisture,height,level
2021/9/26 16:59,0.042,2,0
2021/9/26 17:59,0.042,2,0
2021/9/27 07:39,0.019,2,0
2021/9/27 07:59,0.019,2,0
2021/9/27 08:21,0.028,2,0
2021/9/27 09:59,0.021,2,0
2021/9/27 10:59,0.021,2,0
2021/9/27 11:59,0.02,2,0
2021/9/27 12:59,0.011,2,0
2021/9/27 13:59,0.013,2,0
2021/9/27 14:59,0.007,2,0
2021/9/27 15:59,0.003,2,0
2021/9/27 16:59,0.005,2,0
2021/9/27 17:59,0,2,0
2021/9/28 08:59,0,2,0
2021/9/28 09:59,0,2,0
2021/9/28 10:59,0,2,0
2021/9/28 11:59,0,2,0
2021/9/28 12:59,0,2,0
2021/9/28 13:59,0,2,0
2021/9/28 14:59,0,2,0
2021/9/28 15:59,0,2,0
2021/9/28 16:59,0,2,0
2021/9/28 17:59,0,2,0
2021/9/29 07:59,0,2,0
2021/9/29 08:59,0,2,0
2021/9/29 09:59,0,2,0
2021/9/29 10:59,0,2,0
2021/9/29 11:59,0,2,0
2021/9/29 12:59,0,2,0
2021/9/29 13:59,0,2,0
2021/9/29 14:59,0,2,0
2021/9/29 15:59,0,2,0
2021/9/29 16:59,0.017,2,0
2021/9/29 17:59,0.017,2,0
2021/9/30 07:59,0.015,2,0
2021/9/30 08:59,0.017,2,0
2021/9/30 09:59,0,2,0
2021/9/30 15:03,0,2,0
2021/9/30 15:59,0.015,2,0
2021/9/30 16:59,0.013,2,0
2021/9/30 17:59,0.013,2,0
2021/10/1 07:59,0.013,2,0
2021/10/1 08:59,0.015,2,0
2021/10/1 09:59,0.017,2,0
2021/10/1 10:59,0,2,0
2021/10/1 11:59,0,2,0
2021/10/1 12:59,0,2,0
