time,moisture,height,level
2021/9/26 16:59,0.042,2,0
2021/9/26 17:59,0.042,2,0
2021/9/27 07:39,0.019,2,0
2021/9/27 07:59,0.019,2,0
2021/9/27 08:21,0.028,2,0
2021/9/27 09:59,0.021,2,0
2021/9/27 10:59,0.021,2,0
2021/9/27 11:59,0.02,2,0
2021/9/27 12:59,0.011,2,0
2021/9/27 13:59,0.013,2,0
2021/9/27 14:59,0.007,2,0
2021/9/27 15:59,0.003,2,0
2021/9/27 16:59,0.005,2,0
2021/9/27 17:59,0,2,0
2021/9/28 08:59,0,2,0
2021/9/28 09:59,0,2,0
2021/9/28 10:59,0,2,0
2021/9/28 11:59,0,2,0
2021/9/28 12:59,0,2,0
2021/9/28 13:59,0,2,0
2021/9/28 14:59,0,2,0
2021/9/28 15:59,0,2,0
2021/9/28 16:59,0,2,0
2021/9/28 17:59,0,2,0
2021/9/29 07:59,0,2,0
2021/9/29 08:59,0,2,0
2021/9/29 09:59,0,2,0
2021/9/29 10:59,0,2,0
2021/9/29 11:59,0,2,0
2021/9/29 12:59,0,2,0
2021/9/29 13:59,0.017,2,1
2021/9/29 14:59,0.015,2,1
2021/9/29 15:59,0.011,2,1
2021/9/29 16:59,0.01,2,1
2021/9/29 17:59,0.008,2,1
2021/9/30 07:59,0.008,2,1
2021/9/30 08:59,0.009,2,1
2021/9/30 09:59,0.013,2,1
2021/9/30 15:05,0.015,2,1
2021/9/30 15:59,0.011,2,1
2021/9/30 16:59,0.008,2,1
2021/9/30 17:59,0.008,2,1
2021/10/1 07:59,0.003,2,1
2021/10/1 08:59,0.006,2,1
2021/10/1 09:59,0.009,2,1
2021/10/1 10:59,0.011,2,1
2021/10/1 11:59,0.011,2,1
2021/10/1 12:59,0.013,2,1
2021/10/1 13:59,0.015,2,1
2021/10/1 14:59,0.011,2,1
2021/10/1 15:59,0.006,2,1
2021/10/1 16:59,0.004,2,1
2021/10/1 17:59,0.002,2,1
2021/10/2 07:59,0.009,2,1
2021/10/2 08:59,0.011,2,1
2021/10/2 09:59,0.006,2,1
2021/10/2 10:59,0.015,2,1
2021/10/2 11:59,0,2,1
2021/10/2 12:59,0.015,2,1
2021/10/2 13:59,0.006,2,1
2021/10/2 14:59,0.004,2,1
2021/10/2 15:59,0.004,2,1
2021/10/2 16:59,0.002,2,1
2021/10/2 17:59,0.001,2,1
2021/10/3 07:59,0,2,1
2021/10/3 08:59,0.001,2,1
2021/10/3 09:59,0.002,2,1
2021/10/3 10:59,0.006,2,1
2021/10/3 11:59,0.007,2,1
2021/10/3 12:59,0.009,2,1
2021/10/3 13:59,0.219,2,1
2021/10/3 14:59,0.238,2,1
2021/10/3 15:59,0.213,2,1
2021/10/3 17:06,0.201,2,1
2021/10/3 17:59,0.088,1,2
2021/10/4 10:59,0.066,0,2
2021/10/4 11:59,0.241,0,2
2021/10/4 12:59,0.221,0,2
2021/10/4 13:59,0.213,0,2
2021/10/4 14:59,0.2,0,2
2021/10/4 15:59,0.191,0,2
2021/10/4 16:59,0.189,0,2
2021/10/4 17:59,0.182,0,2
2021/10/5 07:59,0.156,0,2
2021/10/5 08:59,0.154,0,2
2021/10/5 09:59,0.152,0,2
2021/10/5 10:59,0.155,0,2
2021/10/5 11:59,0.157,0,2
2021/10/5 12:59,0.15,0,2
2021/10/5 13:59,0.151,0,2
2021/10/5 14:59,0.15,0,2
2021/10/5 15:59,0.141,0,2
2021/10/5 16:59,0.144,0,2
2021/10/5 17:59,0.14,0,2
2021/10/6 07:59,0.121,0,2
2021/10/6 08:59,0.122,0,2
